compound score,media source,tweet date,tweet negative score,tweet neutral score,tweet positive score,tweet source,tweet text
0.0,@CNN,Tue Apr 10 21:18:49 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A federal court has ruled that employers cannot use salary history to justify paying women less than men for the sa… https://t.co/NgZNXO4H4j
-0.1027,@CNN,Tue Apr 10 21:12:22 +0000 2018,0.072,0.928,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sen. Cruz grilled Zuckerberg over whether Facebook has political bias. Zuckerberg said Facebook's goal is not to en… https://t.co/DUe6OsZeYn
-0.5574,@FoxNews,Tue Apr 10 22:47:17 +0000 2018,0.217,0.783,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",TN Communities Hold Vigils for Illegal Immigrants Nabbed by ICE at Meatpacking Plant https://t.co/mvOUljuctt
-0.4404,@FoxNews,Tue Apr 10 22:19:07 +0000 2018,0.153,0.847,0.0,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",.@facebook CEO Mark Zuckerberg continues to testify before Congress in the wake of a data privacy scandal. https://t.co/qK8LILCylA
0.0,@FoxNews,Tue Apr 10 22:00:44 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Mark Zuckerberg: “This is an ongoing ‘arms race.’ As long as there are people sitting in Russia whose job it is is… https://t.co/LZ22kPZQOf
0.0,@FoxNews,Tue Apr 10 21:54:38 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@SenDanSullivan: “Which are you: are you a tech company or are you the world’s largest publisher? Because I think… https://t.co/RsdXS1ZyxC
0.5719,@FoxNews,Tue Apr 10 21:44:50 +0000 2018,0.0,0.793,0.207,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@SenMarkey: “Would you support a child online privacy ‘Bill of Rights’ for kids under 16 to guarantee that that in… https://t.co/TZx3MzcKPW
-0.6808,@FoxNews,Tue Apr 10 21:37:55 +0000 2018,0.286,0.714,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@BenSasse: “As a dad, do you worry about social media addiction as a problem for America’s teens?” https://t.co/RzeOnYs98D"
0.3415,@FoxNews,Tue Apr 10 21:28:49 +0000 2018,0.053,0.789,0.158,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@BenSasse: “I wouldn’t want you to leave here today and think there’s sort of a unified view in the Congress that… https://t.co/q8sYd9WaRR
0.2263,@FoxNews,Tue Apr 10 21:24:25 +0000 2018,0.0,0.909,0.091,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@ChrisCoons: “At the end of the day, policies aren’t worth the paper they’re written on if Facebook doesn’t enforc… https://t.co/Hci3TzFAeE"
