,lat,lng,city,country,temp_max,humidity,wind_speed,cloudiness,Date
236,50.95,-110.36,medicine hat,CA,35.6,34.0,8.05,20.0,2018-04-03
237,-31.82,-81.09,talcahuano,CL,55.4,93.0,6.93,90.0,2018-04-03
238,47.61,-35.89,ribeira grande,PT,60.83,100.0,16.04,56.0,2018-04-03
239,4.94,144.02,lorengau,PG,84.68,93.0,11.68,68.0,2018-04-03
240,2.52,117.14,tarakan,ID,76.4,100.0,4.74,64.0,2018-04-03
241,35.14,-46.74,torbay,CA,26.6,73.0,4.7,75.0,2018-04-03
242,-16.85,27.52,gwembe,ZM,65.24,91.0,2.95,8.0,2018-04-03
243,-46.38,-61.87,rawson,AR,71.54,41.0,4.41,76.0,2018-04-03
244,29.66,-123.07,lompoc,US,68.0,72.0,11.41,20.0,2018-04-03
245,-25.3,164.27,noumea,NC,80.6,69.0,5.82,0.0,2018-04-03
246,47.71,162.12,petropavlovsk-kamchatskiy,RU,30.2,74.0,15.66,75.0,2018-04-03
247,28.41,114.55,yichun,CN,23.21,30.0,8.1,8.0,2018-04-03
248,70.22,166.1,bilibino,RU,35.81,89.0,3.06,0.0,2018-04-03
249,4.37,-119.6,cabo san lucas,MX,80.6,47.0,6.93,5.0,2018-04-03
250,53.01,67.51,sergeyevka,KZ,16.46,83.0,7.99,0.0,2018-04-03
251,-32.13,-60.81,parana,BR,80.6,74.0,2.39,75.0,2018-04-03
252,35.25,-150.8,kahului,US,82.4,74.0,21.92,40.0,2018-04-03
253,-1.66,102.67,jambi,ID,73.34,100.0,4.85,88.0,2018-04-03
254,53.71,101.22,kuytun,RU,19.07,74.0,4.63,76.0,2018-04-03
255,5.27,47.81,hobyo,SO,80.09,89.0,8.88,80.0,2018-04-03
256,88.72,166.37,pevek,RU,33.29,80.0,3.74,0.0,2018-04-03
257,58.93,-5.45,ullapool,GB,37.34,100.0,12.24,92.0,2018-04-03
258,43.91,104.89,mandalgovi,MN,25.01,64.0,11.23,64.0,2018-04-03
259,19.36,32.71,marawi,PH,74.24,84.0,2.73,20.0,2018-04-03
260,-21.2,-43.65,barbacena,BR,73.4,73.0,3.36,75.0,2018-04-03
261,7.44,77.99,kanniyakumari,IN,83.42,100.0,7.2,0.0,2018-04-03
262,68.93,-98.89,thompson,CA,17.6,31.0,18.34,75.0,2018-04-03
263,41.11,-73.54,stamford,US,42.8,93.0,9.17,90.0,2018-04-03
264,25.44,51.91,doha,QA,80.6,24.0,2.24,0.0,2018-04-03
265,15.39,153.49,kavieng,PG,85.22,99.0,7.99,12.0,2018-04-03
266,-47.94,69.34,saint-philippe,CA,42.8,52.0,10.29,90.0,2018-04-03
