Year,Department,County,Pop of Jurisdaiction,"Employee Rate Per 1,000 Pop.",Total Personnel,Sworn Male ,Sworn Female,Civilian Male,Civilian Female
2011,TRUMBULL,Fair,"36,085",2.27,82,68,4,2,8
2011,VERNON,Toll,"29,233",2.22,65,48,4,5,8
2011,WALLINGFORD,NH,"45,218",2.08,94,61,9,9,15
2011,WATERBURY,NH,"110,570",3.19,353,265,25,23,40
2011,WATERFORD,NL,"19,553",2.76,54,41,6,1,6
2011,WATERTOWN,Litch,"22,556",2.08,47,34,4,3,6
2011,WEST HARTFORD,Hart,"63,385",2.26,143,115,9,6,13
2011,WEST HAVEN,NH,"55,667",2.39,133,105,15,4,9
2011,WESTON,Fair,"10,198",1.47,15,14,0,0,1
2011,WESTPORT,Fair,"26,440",3.18,84,55,10,10,9
2011,WETHERSFIELD,Hart,"26,717",2.17,58,42,5,3,8
2011,WILLIMANTIC,Wind,"17,770",2.48,44,38,2,0,4
2011,WILTON,Fair,"18,095",2.6,47,40,3,2,2
2011,WINCHESTER,Litch,"11,263",2.04,23,18,1,2,2
2011,WINDSOR,Hart,"29,098",2.03,59,39,8,3,9
2011,WINDSOR LOCKS,Hart,"12,521",2.32,29,21,1,4,3
2011,WOLCOTT,NH,"16,711",1.97,33,24,0,2,7
2011,WOODBRIDGE,NH,"9,007",3.77,34,25,1,4,4
2011,C.C.S.U.,Hart,,,26,19,1,2,4
2011,E.C.S.U.,Wind,,,22,13,3,2,4
2011,S.C.S.U.,NH,,,33,21,5,3,4
2011,W.C.S.U.,Fair,,,24,16,1,4,3
2011,UCONN-STORRS,Toll,,,86,63,7,8,8
2011,UCONN HEALTH CTR,Hart,,,30,14,,11,5
2011,YALE,NH,,,96,65,16,5,10
2011,STATE CAPITOL,Hart,,,37,27,1,7,2
2011,METROPOLITAN TA,,,,755,610,74,28,43
2010,STATE POLICE,,"548,292",3.08,"1,690","1,084",86,243,277
2010,ANSONIA,NH,"18,743",2.72,51,41,3,1,6
2010,AVON,Hart,"17,734",2.09,37,22,6,1,8
2010,BERLIN,Hart,"20,963",2.48,52,36,4,6,6
2010,BETHEL,Fair,"18,814",2.44,46,33,3,5,5
2010,BLOOMFIELD,Hart,"21,086",2.7,57,40,6,7,4
2010,BRANFORD,NH,"29,415",2.11,62,48,2,7,5
2010,BRIDGEPORT,Fair,"138,810",3.29,457,356,50,22,29
2010,BRISTOL,Hart,"61,879",1.02,141,109,9,13,10
2010,BROOKFIELD,Fair,"16,994",2.35,40,29,1,6,4
2010,CANTON,Hart,"10,392",1.73,18,13,0,3,2
2010,CHESHIRE,NH,"29,569",1.96,58,43,3,4,8
2010,CLINTON,MidSex,"13,832",2.39,33,22,2,5,4
2010,COVENTRY,Toll,"12,546",1.51,19,11,3,2,3
2010,CROMWELL,MidSex,"13,919",2.44,34,23,2,2,7
2010,DANBURY,Fair,"81,242",1.96,159,141,11,0,7
2010,DARIEN,Fair,"20,617",2.76,57,45,6,2,4
2010,DERBY,NH,"12,542",2.55,32,28,2,1,1
2010,EAST HAMPTON,Midsex,"13,122",1.22,16,14,0,0,2
2010,EAST HARTFORD,Hart,"49,156",3.25,160,114,10,13,23
2010,EAST HAVEN,NH,"28,973",1.79,52,43,6,1,2
2010,EAST WINDSOR,Hart,"11,310",2.65,30,22,1,0,7
2010,EASTON,Fair,"7,483",2.54,19,15,1,0,3
2010,ENFIELD,Hart,"45,837",2.62,120,86,10,12,12
2010,FAIRFIELD,Fair,"58,331",1.87,109,96,7,1,5
2010,FARMINGTON,Hart,"25,615",2.38,61,41,4,8,8
2010,GLASTONBURY,Hart,"33,921",2.09,71,49,6,6,10
2010,GRANBY,Hart,"11,451",1.75,20,14,1,1,4
2010,GREENWICH,Fair,"63,281",2.8,177,137,13,13,14
2010,GROTON CITY,NL,"9,492",4.21,40,30,1,3,6
2010,GROTON LONG PT.,NL,703,9.96,7,6,1,0,0
2010,GROTON TOWN,NL,"29,842",2.35,70,57,9,0,4
2010,GUILFORD,NH,"22,861",1.97,45,33,4,1,7
2010,HAMDEN,NH,"58,988",2.22,131,101,5,11,14
2010,HARTFORD,Hart,"125,626",3.96,498,405,47,15,31
2010,MADISON,NH,"19,155",1.72,33,22,4,3,4
2010,MANCHESTER,Hart,"57,271",2.58,148,105,12,15,16
2010,MERIDEN,NH,"60,032",2.18,131,108,9,6,8
2010,MIDDLEBURY,NH,"7,588",2.24,17,10,1,3,3
2010,MIDDLETOWN,MidSex,"49,281",2.29,113,87,11,4,11
2010,MILFORD,NH,"57,565",2.21,127,101,9,2,15
2010,MONROE,Fair,"19,696",2.54,50,33,6,7,4
2010,NAUGATUCK,NH,"32,529",2.12,69,53,4,3,9
2010,NEW BRITAIN,Hart,"71,344",2.3,164,137,14,2,11
2010,NEW CANAAN,Fair,"20,312",2.46,50,43,2,1,4
2010,NEW HAVEN,NH,"124,856",4.09,511,377,75,15,44
2010,NEW LONDON,NL,"26,517",3.96,105,79,10,5,11
2010,NEW MILFORD,Litch,"29,006",2.07,60,43,4,5,8
2010,NEWINGTON,Hart,"30,246",2.08,63,43,7,6,7
2010,NEWTOWN,Fair,"27,366",2.05,56,43,5,1,7
2010,NORTH BRANFORD,NH,"14,619",1.98,29,23,0,2,4
2010,NORTH HAVEN,NH,"24,306",2.26,55,44,2,2,7
2010,NORWALK,Fair,"84,944",2.47,210,159,16,21,14
2010,NORWICH,NL,"37,157",2.4,89,71,4,5,9
2010,OLD SAYBROOK,MidSex,"10,696",2.8,30,22,1,4,3
2010,ORANGE,NH,"14,003",3.78,53,38,4,5,6
2010,PLAINFIELD,Wind,"15,720",1.21,19,16,0,1,2
2010,PLAINVILLE,Hart,"17,511",2.4,42,34,0,6,2
